Time Elapsed/s,Agent Population,Predator Population,Food Population,Prey Births,Predator Births,Prey Deaths,Predator Deaths
5002,38,21,49,308,72,310,91
5003,38,21,49,308,72,310,91
5004,38,21,49,308,72,310,91
5005,39,21,48,309,72,310,91
5006,39,21,49,309,72,310,91
5007,39,21,49,309,72,310,91
5008,39,21,49,309,72,310,91
5009,39,21,48,309,72,310,91
5010,39,21,48,309,72,310,91
5011,39,21,49,309,72,310,91
5012,39,21,49,309,72,310,91
5013,39,21,49,309,72,310,91
5014,39,21,49,309,72,310,91
5015,39,21,49,309,72,310,91
5016,39,21,48,309,72,310,91
5017,39,21,48,309,72,310,91
5018,39,21,48,309,72,310,91
5019,39,21,47,309,72,310,91
5020,39,21,47,309,72,310,91
5021,39,21,48,309,72,310,91
5022,39,21,48,309,72,310,91
5023,39,21,48,309,72,310,91
5024,39,21,48,309,72,310,91
5025,39,21,48,309,72,310,91
5026,39,21,49,309,72,310,91
5027,39,21,49,309,72,310,91
5028,39,21,49,309,72,310,91
5029,39,21,49,309,72,310,91
5030,38,21,49,309,72,311,91
5031,38,21,50,309,72,311,91
5032,37,22,50,309,73,312,91
5033,37,22,50,309,73,312,91
5034,37,22,50,309,73,312,91
5035,37,22,50,309,73,312,91
5036,37,21,51,309,73,312,92
5037,37,21,50,309,73,312,92
5038,37,21,50,309,73,312,92
5039,36,21,50,309,73,313,92
5040,36,21,50,309,73,313,92
5041,36,21,51,309,73,313,92
5042,36,21,51,309,73,313,92
5043,36,21,51,309,73,313,92
5044,37,21,50,310,73,313,92
5045,37,21,49,310,73,313,92
5046,37,21,50,310,73,313,92
5047,37,21,50,310,73,313,92
5048,37,21,50,310,73,313,92
5049,36,21,50,310,73,314,92
5050,36,20,50,310,73,314,93
5051,36,20,51,310,73,314,93
5052,36,20,51,310,73,314,93
5053,35,20,51,310,73,315,93
5054,35,20,51,310,73,315,93
5055,33,21,51,310,74,317,93
5056,33,21,52,310,74,317,93
5057,33,21,52,310,74,317,93
5058,33,21,52,310,74,317,93
5059,33,21,50,311,74,318,93
5060,33,21,50,311,74,318,93
5061,33,21,51,311,74,318,93
5062,34,21,50,312,74,318,93
5063,34,21,50,312,74,318,93
5064,34,21,50,312,74,318,93
5065,34,21,50,312,74,318,93
5066,34,21,51,312,74,318,93
5067,34,21,51,312,74,318,93
5068,34,21,51,312,74,318,93
5069,34,21,51,312,74,318,93
5070,33,21,51,312,74,319,93
5071,33,21,52,312,74,319,93
5072,33,21,52,312,74,319,93
5073,33,21,52,312,74,319,93
5074,33,21,52,312,74,319,93
5075,32,21,52,312,74,320,93
5076,32,21,53,312,74,320,93
5077,31,21,53,312,74,321,93
5078,31,21,53,312,74,321,93
5079,32,21,52,313,74,321,93
5080,32,21,52,313,74,321,93
5081,32,21,52,313,74,321,93
5082,32,21,52,313,74,321,93
5083,31,21,51,313,74,322,93
5084,31,21,51,313,74,322,93
5085,31,21,51,313,74,322,93
5086,31,21,52,313,74,322,93
5087,31,21,51,313,74,322,93
5088,30,21,51,313,74,323,93
5089,29,22,51,313,75,324,93
5090,29,22,50,313,75,324,93
5091,29,22,51,313,75,324,93
5092,28,22,51,313,75,325,93
5093,28,22,51,313,75,325,93
5094,28,22,51,313,75,325,93
5095,28,22,51,313,75,325,93
5096,28,22,51,313,75,325,93
5097,28,22,51,313,75,325,93
5098,28,22,51,313,75,325,93
5099,29,22,50,314,75,325,93
5100,29,22,49,314,75,325,93
5101,29,22,50,314,75,325,93
5102,29,22,49,314,75,325,93
5103,29,22,48,314,75,325,93
5104,29,22,48,314,75,325,93
5105,29,22,47,314,75,325,93
5106,29,22,48,314,75,325,93
5107,29,22,48,314,75,325,93
5108,28,22,48,314,75,326,93
5109,28,22,48,314,75,326,93
5110,28,22,47,314,75,326,93
5111,28,22,48,314,75,326,93
5112,28,22,48,314,75,326,93
5113,28,22,48,314,75,326,93
5114,27,23,48,314,76,327,93
5115,26,23,48,314,76,328,93
5116,26,23,49,314,76,328,93
5117,26,23,49,314,76,328,93
5118,26,23,49,314,76,328,93
5119,26,23,49,314,76,328,93
5120,26,23,49,314,76,328,93
5121,26,23,50,314,76,328,93
5122,26,23,50,314,76,328,93
5123,25,23,50,314,76,329,93
5124,24,24,50,314,77,330,93
5125,24,24,50,314,77,330,93
5126,24,24,51,314,77,330,93
5127,24,24,51,314,77,330,93
5128,24,24,51,314,77,330,93
5129,24,24,50,314,77,330,93
5130,24,24,50,314,77,330,93
5131,24,24,51,314,77,330,93
5132,24,24,51,314,77,330,93
5133,23,24,51,314,77,331,93
5134,23,24,51,314,77,331,93
5135,23,24,51,314,77,331,93
5136,23,24,52,314,77,331,93
5137,22,24,52,314,77,332,93
5138,22,24,52,314,77,332,93
5139,23,24,51,315,77,332,93
5140,23,24,51,315,77,332,93
5141,23,24,52,315,77,332,93
5142,23,24,52,315,77,332,93
5143,23,24,52,315,77,332,93
5144,23,24,52,315,77,332,93
5145,23,24,52,315,77,332,93
5146,24,24,52,316,77,332,93
5147,24,24,52,316,77,332,93
5148,24,24,51,316,77,332,93
5149,23,25,51,316,78,333,93
5150,23,25,51,316,78,333,93
5151,23,25,52,316,78,333,93
5152,23,25,52,316,78,333,93
5153,23,25,51,316,78,333,93
5154,23,25,51,316,78,333,93
5155,23,25,51,316,78,333,93
5156,22,26,52,316,79,334,93
5157,22,26,52,316,79,334,93
5158,22,26,51,316,79,334,93
5159,22,26,51,316,79,334,93
5160,22,26,51,316,79,334,93
5161,22,26,52,316,79,334,93
5162,22,26,52,316,79,334,93
5163,22,26,52,316,79,334,93
5164,22,26,52,316,79,334,93
5165,22,26,52,316,79,334,93
5166,21,26,53,316,79,335,93
5167,21,26,53,316,79,335,93
5168,21,26,53,316,79,335,93
5169,21,26,52,316,79,335,93
5170,21,26,52,316,79,335,93
5171,21,26,53,316,79,335,93
5172,21,26,53,316,79,335,93
5173,21,26,53,316,79,335,93
5174,21,26,53,316,79,335,93
5175,21,26,53,316,79,335,93
5176,21,26,54,316,79,335,93
5177,21,26,54,316,79,335,93
5178,21,26,54,316,79,335,93
5179,21,26,54,316,79,335,93
5180,21,26,54,316,79,335,93
5181,21,26,55,316,79,335,93
5182,22,26,54,317,79,335,93
5183,22,26,54,317,79,335,93
5184,22,26,54,317,79,335,93
5185,22,26,54,317,79,335,93
5186,23,26,54,318,79,335,93
5187,23,26,54,318,79,335,93
5188,23,26,54,318,79,335,93
5189,23,26,54,318,79,335,93
5190,23,26,54,318,79,335,93
5191,23,26,55,318,79,335,93
5192,23,26,55,318,79,335,93
5193,23,26,55,318,79,335,93
5194,23,26,55,318,79,335,93
5195,23,26,55,318,79,335,93
5196,22,26,56,318,79,336,93
5197,22,26,56,318,79,336,93
5198,22,26,56,318,79,336,93
5199,22,26,56,318,79,336,93
5200,22,26,55,318,79,336,93
5201,22,26,56,318,79,336,93
5202,22,26,56,318,79,336,93
5203,22,26,56,318,79,336,93
5204,22,26,56,318,79,336,93
5205,22,25,56,318,79,336,94
5206,22,25,57,318,79,336,94
5207,22,25,57,318,79,336,94
5208,22,25,57,318,79,336,94
5209,22,25,57,318,79,336,94
5210,22,25,56,318,79,336,94
5211,21,25,57,318,79,337,94
