Time Elapsed/s,ID,X-Coord,Y-Coord,Energy
0.0,4301760784,39.136,36.37,100.0
1.0,4301760784,39.824,37.046,99.0
2.0,4301760784,39.214,36.618,98.0
3.0,4301760784,38.917,35.685,97.0
4.0,4301760784,39.261,35.088,96.0
5.0,4301760784,39.794,35.26,95.0
6.0,4301760784,39.553,34.457,94.0
7.0,4301760784,39.114,33.653,93.0
8.0,4301760784,38.47,34.329,92.0
9.0,4301760784,38.077,35.161,91.0
10.0,4301760784,38.88,35.704,90.0
11.0,4301760784,39.78,35.947,89.0
12.0,4301760784,39.474,36.52,88.0
13.0,4301760784,38.983,37.303,87.0
14.0,4301760784,38.253,37.919,86.0
15.0,4301760784,37.849,38.748,85.0
16.0,4301760784,38.585,39.246,84.0
17.0,4301760784,39.105,38.412,83.0
18.0,4301760784,39.877,37.833,82.0
19.0,4301760784,39.141,37.947,81.0
20.0,4301760784,38.184,37.896,80.0
21.0,4301760784,38.095,37.03,79.0
22.0,4301760784,38.997,37.195,78.0
23.0,4301760784,39.767,37.434,77.0
24.0,4301760784,39.706,38.098,76.0
25.0,4301760784,39.064,38.835,75.0
26.0,4301760784,38.676,39.693,74.0
27.0,4301760784,38.258,39.638,73.0
28.0,4301760784,39.172,39.423,72.0
29.0,4301760784,39.762,39.401,71.0
30.0,4301760784,39.201,38.717,70.0
31.0,4301760784,38.36,38.32,69.0
32.0,4301760784,37.894,37.531,68.0
33.0,4301760784,37.095,37.228,67.0
34.0,4301760784,36.124,37.242,66.0
35.0,4301760784,35.626,36.809,65.0
36.0,4301760784,35.547,35.959,64.0
37.0,4301760784,35.104,35.145,63.0
38.0,4301760784,34.279,34.814,62.0
39.0,4301760784,34.336,35.702,61.0
40.0,4301760784,34.754,36.508,60.0
41.0,4301760784,35.619,36.501,59.0
42.0,4301760784,35.828,35.725,58.0
43.0,4301760784,34.942,35.378,57.0
44.0,4301760784,33.989,35.286,56.0
45.0,4301760784,33.073,35.154,55.0
46.0,4301760784,32.597,34.33,54.0
47.0,4301760784,32.196,33.557,53.0
48.0,4301760784,32.268,32.588,52.0
49.0,4301760784,32.099,31.646,51.0
50.0,4301760784,31.222,31.404,50.0
51.0,4301760784,30.296,31.58,99.0
52.0,4301760784,29.808,30.869,98.0
53.0,4301760784,28.933,30.454,97.0
54.0,4301760784,28.088,30.048,96.0
55.0,4301760784,28.41,29.195,95.0
56.0,4301760784,29.267,28.81,94.0
57.0,4301760784,29.511,28.029,93.0
58.0,4301760784,29.358,27.127,92.0
59.0,4301760784,29.169,26.213,91.0
60.0,4301760784,28.472,25.642,90.0
61.0,4301760784,27.754,26.2,89.0
62.0,4301760784,28.035,27.133,88.0
63.0,4301760784,27.922,27.952,87.0
64.0,4301760784,28.178,28.844,86.0
65.0,4301760784,28.288,29.728,85.0
66.0,4301760784,28.378,30.692,84.0
67.0,4301760784,27.922,31.525,83.0
68.0,4301760784,28.344,32.225,82.0
69.0,4301760784,29.195,31.889,81.0
70.0,4301760784,30.003,31.405,80.0
71.0,4301760784,30.928,31.549,79.0
72.0,4301760784,31.856,31.74,78.0
73.0,4301760784,32.514,32.271,77.0
74.0,4301760784,32.904,33.073,76.0
75.0,4301760784,32.394,33.901,75.0
76.0,4301760784,31.449,33.983,74.0
77.0,4301760784,30.508,34.197,73.0
78.0,4301760784,29.658,33.859,72.0
79.0,4301760784,28.813,34.029,71.0
80.0,4301760784,28.442,34.924,120.0
81.0,4301760784,28.864,35.726,119.0
82.0,4301760784,28.94,36.61,118.0
83.0,4301760784,29.736,36.254,117.0
84.0,4301760784,30.484,35.689,116.0
85.0,4301760784,31.459,35.669,115.0
86.0,4301760784,32.196,36.256,114.0
87.0,4301760784,33.061,36.66,113.0
88.0,4301760784,33.813,37.169,112.0
89.0,4301760784,33.613,38.083,111.0
90.0,4301760784,33.625,38.988,110.0
91.0,4301760784,33.944,39.857,109.0
92.0,4301760784,34.602,39.422,108.0
93.0,4301760784,35.102,38.626,107.0
94.0,4301760784,35.969,38.187,106.0
95.0,4301760784,36.873,37.928,105.0
96.0,4301760784,36.366,37.134,104.0
97.0,4301760784,35.444,37.367,103.0
98.0,4301760784,35.15,38.28,102.0
99.0,4301760784,34.248,38.117,101.0
100.0,4301760784,33.673,37.576,100.0
101.0,4301760784,33.056,36.937,99.0
102.0,4301760784,32.407,36.614,98.0
103.0,4301760784,32.403,35.678,97.0
104.0,4301760784,32.366,34.73,96.0
105.0,4301760784,31.472,34.686,95.0
106.0,4301760784,31.338,35.573,94.0
107.0,4301760784,31.837,36.382,93.0
108.0,4301760784,32.72,36.273,92.0
109.0,4301760784,33.604,35.865,91.0
110.0,4301760784,34.315,36.474,90.0
111.0,4301760784,34.838,37.262,89.0
112.0,4301760784,34.546,38.172,88.0
113.0,4301760784,34.228,39.091,87.0
114.0,4301760784,33.989,39.957,86.0
115.0,4301760784,34.369,39.166,85.0
116.0,4301760784,35.281,39.479,84.0
117.0,4301760784,35.449,38.818,83.0
118.0,4301760784,34.695,39.354,82.0
119.0,4301760784,33.966,39.339,81.0
120.0,4301760784,33.691,38.448,80.0
121.0,4301760784,33.981,37.542,79.0
122.0,4301760784,34.544,36.8,78.0
123.0,4301760784,34.282,35.944,77.0
124.0,4301760784,33.333,35.907,76.0
125.0,4301760784,33.09,36.758,75.0
126.0,4301760784,33.107,37.653,74.0
127.0,4301760784,32.557,38.437,73.0
128.0,4301760784,32.47,39.361,72.0
129.0,4301760784,31.808,39.908,71.0
130.0,4301760784,31.554,39.026,70.0
131.0,4301760784,32.493,38.939,69.0
132.0,4301760784,33.25,38.432,68.0
133.0,4301760784,33.983,37.916,67.0
134.0,4301760784,34.849,37.509,66.0
135.0,4301760784,34.934,36.604,65.0
136.0,4301760784,34.772,35.664,64.0
137.0,4301760784,34.596,34.765,63.0
138.0,4301760784,35.511,34.94,62.0
139.0,4301760784,36.423,35.14,61.0
140.0,4301760784,36.639,36.055,60.0
141.0,4301760784,36.115,36.817,59.0
142.0,4301760784,35.633,37.52,58.0
143.0,4301760784,36.107,38.235,57.0
144.0,4301760784,36.474,39.134,56.0
145.0,4301760784,37.042,39.907,55.0
146.0,4301760784,37.914,39.461,54.0
147.0,4301760784,38.77,39.092,53.0
148.0,4301760784,39.671,38.735,52.0
149.0,4301760784,39.324,38.528,51.0
150.0,4301760784,38.665,37.955,50.0
151.0,4301760784,37.999,38.066,49.0
152.0,4301760784,37.48,38.792,48.0
153.0,4301760784,37.217,39.66,47.0
154.0,4301760784,36.446,39.888,46.0
155.0,4301760784,35.687,39.644,45.0
156.0,4301760784,35.549,38.698,44.0
157.0,4301760784,36.502,38.505,43.0
158.0,4301760784,37.415,38.497,42.0
159.0,4301760784,37.862,39.041,41.0
160.0,4301760784,38.718,38.731,40.0
161.0,4301760784,39.552,38.75,39.0
162.0,4301760784,39.683,39.463,38.0
163.0,4301760784,39.376,39.525,37.0
164.0,4301760784,39.193,38.609,36.0
165.0,4301760784,39.531,37.718,35.0
166.0,4301760784,39.575,37.148,34.0
167.0,4301760784,38.675,37.026,33.0
168.0,4301760784,37.985,36.41,32.0
169.0,4301760784,37.865,35.51,31.0
170.0,4301760784,37.938,34.627,30.0
171.0,4301760784,37.151,34.323,29.0
172.0,4301760784,36.284,34.196,28.0
173.0,4301760784,35.416,34.217,27.0
174.0,4301760784,34.549,33.85,26.0
175.0,4301760784,33.787,34.401,25.0
176.0,4301760784,33.089,34.998,24.0
177.0,4301760784,33.576,35.747,23.0
178.0,4301760784,34.502,35.874,22.0
179.0,4301760784,35.288,35.554,21.0
180.0,4301760784,35.173,36.349,20.0
181.0,4301760784,34.62,35.97,19.0
182.0,4301760784,34.033,35.208,18.0
183.0,4301760784,33.464,35.8,17.0
184.0,4301760784,32.556,36.002,16.0
185.0,4301760784,31.692,36.404,15.0
186.0,4301760784,30.922,36.771,14.0
187.0,4301760784,30.209,37.299,13.0
188.0,4301760784,29.823,38.176,12.0
189.0,4301760784,29.525,39.094,61.0
190.0,4301760784,29.105,39.905,60.0
191.0,4301760784,29.608,39.66,59.0
192.0,4301760784,30.474,39.247,108.0
193.0,4301760784,31.132,39.63,157.0
194.0,4301760784,32.025,39.972,156.0
195.0,4301760784,32.896,39.688,155.0
196.0,4301760784,33.156,39.399,154.0
197.0,4301760784,33.106,38.47,153.0
198.0,4301760784,32.919,37.567,152.0
199.0,4301760784,32.967,36.624,151.0
200.0,4301760784,33.024,35.658,150.0
201.0,4301760784,32.912,34.733,149.0
202.0,4301760784,33.267,33.841,148.0
203.0,4301760784,32.899,32.964,97.0
203.0,5127078352,32.693,33.071,99.7
204.0,4301760784,32.603,32.126,96.0
204.0,5127078352,32.35,32.176,98.7
205.0,4301760784,32.617,31.155,95.0
205.0,5127078352,32.469,31.284,97.7
206.0,4301760784,32.458,30.235,94.0
206.0,5127078352,32.892,30.492,96.7
207.0,4301760784,32.205,29.365,93.0
