Time Elapsed/s,Agent Population,Food Population
0.0,1,1
1.0,1,2
2.0,1,2
3.0,1,4
4.0,1,5
5.0,1,5
6.0,1,6
7.0,1,6
8.0,1,6
9.0,1,8
10.0,1,8
11.0,1,8
12.0,1,9
13.0,1,9
14.0,1,9
15.0,1,10
16.0,1,10
17.0,1,11
18.0,1,11
19.0,1,11
20.0,1,11
21.0,1,11
22.0,1,11
23.0,1,12
24.0,1,12
25.0,1,13
26.0,1,13
27.0,1,14
28.0,1,14
29.0,1,14
30.0,1,14
31.0,1,14
32.0,1,15
33.0,1,15
34.0,1,14
35.0,1,15
36.0,1,15
37.0,1,15
38.0,1,16
39.0,1,16
40.0,1,17
41.0,1,17
42.0,1,17
43.0,1,18
44.0,1,21
45.0,1,22
46.0,1,23
47.0,1,23
48.0,1,23
49.0,1,22
50.0,1,22
51.0,1,23
52.0,1,23
53.0,1,24
54.0,1,24
55.0,1,24
56.0,1,25
57.0,1,25
58.0,1,27
59.0,1,27
60.0,1,28
61.0,1,29
62.0,1,29
63.0,1,30
64.0,1,31
65.0,1,31
66.0,1,31
67.0,1,31
68.0,1,31
69.0,1,31
70.0,1,31
71.0,1,33
72.0,1,34
73.0,1,34
74.0,1,35
75.0,1,36
76.0,1,36
77.0,1,36
78.0,1,36
79.0,1,37
80.0,1,38
81.0,1,38
82.0,1,39
83.0,1,39
84.0,1,40
85.0,1,40
86.0,1,40
87.0,2,39
88.0,2,39
89.0,2,39
90.0,2,40
91.0,2,40
92.0,2,41
93.0,2,41
94.0,2,42
95.0,2,43
96.0,3,42
97.0,3,42
98.0,3,42
99.0,3,43
100.0,3,44
101.0,3,43
102.0,3,43
103.0,3,44
104.0,3,44
105.0,3,44
106.0,3,45
107.0,3,45
108.0,3,46
109.0,3,46
110.0,3,47
111.0,3,47
112.0,3,48
113.0,3,48
114.0,3,48
115.0,3,48
116.0,3,48
117.0,3,48
118.0,3,49
119.0,3,49
120.0,3,49
121.0,3,50
